"ID","PL","ML","HL","FL","TL","H","S","V","PC1","PC2","Actual_Color"
"sangi_1",12.25,32.02,14.98,9.66,11.34,18.6823110167564,110.301008416104,72.493668966563,-0.0830607385936282,-0.724355131954477,"#483D29"
"814_2",10.32,18.06,12.22,7.72,9.18,16.5144023838428,117.69959165655,83.6007063238053,-0.969559585465041,-0.0343307710986338,"#54422D"
"SBF2_3",11.15,21.16,13.16,7.99,10.38,15.6474780194354,106.643405830634,81.510134197131,-0.588712186546781,-0.156018546146606,"#52412F"
"4(700_1)",10.82,20.1,12.98,8.28,10.16,17.7949262179098,113.893571861734,87.9655346674752,-1.03510327551889,0.381115130998931,"#584831"
"5(caf2_7)",10.05,17.6,11.93,8.07,9.63,18.6810463515374,118.006769160165,101.873451124369,-1.84081371031127,1.44605553117435,"#665437"
"6(saf3_18)",10.52,17.22,12.69,8.33,10.27,14.5312072001565,87.9507924085306,79.0834474662493,0.0125775551750187,-0.261861000320408,"#4F4134"
"7(saf3_25)",10.67,16.78,12.57,7.84,9.75,17.659839715049,118.290293855744,80.9805085584249,-0.797676923451366,-0.184129294311606,"#51422B"
"8(700_1f)",10.56,18.67,12.13,7.86,10.05,15.5298006899195,123.928995783825,76.0483901878114,-0.791456151689233,-0.694176401655834,"#4C3A27"
"9(saf4_6)",10.8,18.78,13.27,8.22,9.91,13.9303552585297,116.085473091804,77.2505569234377,-0.705959052771735,-0.622466942975349,"#4D3B2A"
"10(792_3)",10.7,16.64,12.29,7.84,9.28,18.7421519290678,75.5980110232447,84.9612988257848,0.237279693005648,0.461683751446682,"#554C3C"
"11(saf3_11)",10.49,16.65,12.62,8.35,9.99,16.8962080421583,102.234734792072,88.238629854508,-0.762836290622359,0.441029199709431,"#584935"
"12(814_1)",10.37,17.01,11.96,7.97,9.62,13.7264110297286,109.206268849634,89.8103188280913,-1.18149033219227,0.36629066018723,"#5A4533"
"13(noname)",10.13,17.81,12.14,8.01,9.99,18.5844023158134,98.978658190487,92.0995572709729,-0.799216069552183,0.83325803310086,"#5C4F38"
"14(800_7)",10.3,16.33,12.03,7.91,9.34,13.4990863162421,93.5277867354617,82.8489734494249,-0.387125006149733,-0.062764183763121,"#534234"
"15(saf4_7)",9.88,16.36,11.86,7.76,9.55,14.5401158903499,114.128259416091,84.2716737240918,-0.992506470514559,-0.0495409664545327,"#54412F"
"16(lbf2_12)",9.45,14.33,10.99,7.55,9.11,18.9808249721293,114.685507246377,83.6622073578595,-0.778726679714226,0.104393028565279,"#54462E"
"17(sbf2_14)",9.82,14.57,10.91,7.78,9.38,17.0912656509277,98.2679137124755,80.9696786845678,-0.261580867101187,-0.0727891948026987,"#514432"
"18(saf3_22)",9.89,14.11,11.33,7.56,9.46,15.2060973927438,91.918195613188,79.4201958890881,-0.0862164862797301,-0.232780911549992,"#4F4133"
"19(saf3_4)",9.93,13.94,11.11,7.45,8.92,16.4135438972163,110.975240899358,94.8499732334047,-1.37607013283319,0.858902932917671,"#5F4C36"
"SAF4-No.7",8.81,9.74,9.65,6.76,7.83,13.6288487282463,106.181224899598,61.2128514056225,0.399711992345393,-1.78177003157509,"#3D2F24"
"SAF4-No.29",9.69,12.6,10.74,7.1,7.36,20.3328475663072,64.0578548528126,52.602156805596,2.32944276588774,-1.83476369285949,"#353027"
"729-No.13",10.06,19.01,11.76,8.13,8.47,70.5338871884565,60.7894621775251,57.7056187144731,4.38473659555904,0.879236489624233,"#2C3A31"
"No ID No.1",10.65,18.8,12.25,7.93,9.21,14.867197717275,69.0979669480442,64.4136250148615,1.3254386659589,-1.22656356751587,"#40382F"
"729-No.1C",9.63,14.63,11.37,7.64,9.11,20.9544650751547,63.4652225169467,72.4117300324197,1.33405664741306,-0.302790359316411,"#484336"
"CBF2-No.2",9.87,15.88,11.32,7.62,9.43,46.5458450798765,42.592562760102,67.9966438448114,3.2879922041917,0.682302839043305,"#3E4439"
"729-No.10",10.08,16.1,11.45,7.4,9.14,34.4804704515754,53.6018585741252,69.1629156381589,2.38208751176024,0.140523369377704,"#434537"
"775-No.8A",11.02,21.24,12.3,7.66,10.17,68.6413554291368,46.0112540192926,64.7245857036854,4.34616823679723,1.42563551925311,"#354139"
"SBF5-No.17",8.18,11.19,9.41,7.22,9.05,18.9542672560354,107.189221353281,70.0941856511391,0.142112132346174,-0.871989198634574,"#463B29"
"SAF4-No.3",8.83,12.06,10.25,6.92,8.52,18.1985241946928,87.3726408400738,74.9320278132539,0.409662700004911,-0.403680973522438,"#4B4131"
"SBF3-No.22",9.81,14.32,11.26,7.58,9.28,18.0904834044897,100.646467428729,81.385621815177,-0.305612046922225,-0.0118503219430026,"#514531"
"SBF5-No.1",8.43,9.3,8.86,6.59,7.42,15.2476483357453,86.9857091172214,88.2798480463097,-0.411176103934371,0.473754056091443,"#584A3A"
"SBF3-No.19",8.21,10.08,9.45,6.71,7.93,15.9007895640233,103.319773429454,88.0504634397528,-0.827601076549423,0.373586214580935,"#584734"
"SBF5-No.18",8.31,10.05,8.78,6.55,8.09,16.7387300978323,109.422981009016,88.4855169767888,-0.984127441636883,0.402844658806427,"#584833"
"SBF5-No.8",8.77,11.21,9.63,6.69,8.31,14.3468484419263,117.253364022663,82.1184490084986,-0.975625680026727,-0.242968660519952,"#523F2C"
"795-No.5",9.05,11.38,10.07,7.13,8.22,13.6632238401625,112.947511005757,79.5209955976973,-0.749097249970226,-0.441219700049296,"#503C2C"
"SBF5-No.28",9.39,11.98,9.93,7.23,8.44,18.0788086452293,109.586715867159,80.7734580917238,-0.524409788546726,-0.120457938307615,"#51432E"
"CAF2-No.6",10.32,18.65,11.89,7.4,9.35,18.4147168531706,106.222674352888,85.5367921329264,-0.66523748053625,0.278722279372861,"#564832"
"SAF3-No.10",10.34,15.94,12,7.34,8.74,14.8073797496156,106.139688117725,86.7940918075994,-0.889253606823601,0.208813347584428,"#574533"
"SBF3-No.10",9.63,14.91,10.85,7.1,9.45,16.6025316455696,100.490606262492,90.0293137908061,-0.821016266191243,0.575120747442113,"#5A4A37"
